Symbol,Uniprot,PDB-ID
IGF1R,P08069,"1IGR,1JQH,1K3A,1M7N,1P4O,2OJ9,2ZM3,3D94,3F5P,3I81,3LVP,3LW0,3NW5,3NW6,3NW7,3O23,3QQU,4D2R,4XSS,5FXQ,5FXR,5FXS,5HZN,5U8Q,5U8R,6JK8,6VWG,6VWH,6VWI,6VWJ,7PH8,7S0Q,7S8V,7U23,7V3P,7XGD,7XLC,7YRR,8PYI,8PYJ,8PYK,8PYL,8PYM,8PYN,8TAN"
MYOD1,P15172,
CTNNB1,P35222,"1G3J,1JDH,1JPW,1LUJ,1P22,1QZ7,1T08,1TH1,2G57,2GL7,2Z6H,3DIW,3FQN,3FQR,3SL9,3SLA,3TX7,4DJS,6M90,6M91,6M92,6M93,6M94,6O9B,6O9C,6WLX,6WNX,7AFW,7AR4,7UWI,7UWO,7ZRB,8EI9,8EIA,8EIB,8EIC,8RU3,8RU4,8VME,8VMF,8Y0G,8Y0P,8Y14,8Z0U,8Z10,8Z5J,8Z61"
INSR,P06213,"1GAG,1I44,1IR3,1IRK,1P14,1RQQ,2AUH,2B4S,2HR7,2MFR,2Z8C,3BU3,3BU5,3BU6,3EKK,3EKN,3ETA,3W11,3W12,3W13,4IBM,4OGA,4XLV,4XSS,4XST,4ZXB,5E1S,5HHW,5J3H,5KQV,5U1M,6HN4,6HN5,6PXV,6PXW,6SOF,6VEP,6VEQ,7BW7,7BW8,7BWA,7KD6,7MQO,7MQR,7MQS,7PG0,7PG2,7PG3,7PG4,7PHT,7QID,7S0Q,7S8V,7U6D,7U6E,7YQ3,7YQ4,7YQ5,7YQ6,8DWN,8GUY,8U4B,8U4C,8U4E,8VJB,8VJC,8X06,8X2M,8XJS,8XK1,8XKM,8XKR"
ACTA1,P68133,"7RNS,7RNU,7RNV,9DUU,9DUV"
NOG,Q13253,"1M4U,7AG0"
NRG1,Q02297,"1HAE,1HAF,1HRE,1HRF,3U7U,7MN5,7MN6,7MN8,7SJL,8U4I,8U4L"
TGFB3,P10600,"1KTZ,1TGJ,1TGK,2PJY,3EO1,4UM9,8V52,8VS6,8VSB"
HIF1A,Q16665,"1H2K,1H2L,1H2M,1L3E,1L8C,1LM8,1LQB,2ILM,3HQR,3HQU,4AJY,4H6J,5JWP,5L9B,5L9V,5LA9,5LAS,6GFX,6GMR,6YW3,7LVS,7QGS,8HE0,8HE3"
BMP7,P18075,"1BMP,1LX5,1LXI,1M4U"
MET,P08581,"1FYR,1R0P,1R1W,1SHY,1SSL,2G15,2RFN,2RFS,2UZX,2UZY,2WD1,2WGJ,2WKM,3A4P,3BUX,3C1X,3CCN,3CD8,3CE3,3CTH,3CTJ,3DKC,3DKF,3DKG,3EFJ,3EFK,3F66,3F82,3I5N,3L8V,3LQ8,3Q6U,3Q6W,3QTI,3R7O,3RHK,3U6H,3U6I,3VW8,3ZBX,3ZC5,3ZCL,3ZXZ,3ZZE,4AOI,4AP7,4DEG,4DEH,4DEI,4EEV,4GG5,4GG7,4IWD,4K3J,4KNB,4MXC,4O3T,4O3U,4R1V,4R1Y,4XMO,4XYF,5DG5,5EOB,5EYC,5EYD,5HLW,5HNI,5HO6,5HOA,5HOR,5HTI,5LSP,5T3Q,5UAB,5UAD,5YA5,6GCU,6I04,6SD9,6SDC,6SDD,6SDE,6UBW,6WVZ,7B3Q,7B3T,7B3V,7B3W,7B3Z,7B40,7B41,7B42,7B43,7B44,7MO7,7MO8,7MO9,7MOA,7MOB,7V3R,7V3S,7Y4T,7Y4U,8AN8,8ANS,8AU3,8AU5,8AW1,8GVJ,8K78,8OUU,8OUV,8OV7,8OVZ,8OW3,8OWG,9C1R"
SMAD3,P84022,"1MHD,1MJS,1MK2,1OZJ,1U7F,2LAJ,2LB2,5OD6,5ODG,5XOC,6YIB,6ZMN"
IGF2,P01344,"1IGL,2L29,2V5P,3E4Z,3KR3,5L3L,5L3M,5L3N,6UM2,6VWG,6VWI,8U4C,8U4E,8VJB,8VJC"
FOXO1,Q12778,"3CO6,3CO7,3COA,4LG0,5DUI,6LBI,6QVW,6QZR,6QZS,8A62,8A65"
FGFR1,P11362,"1AGW,1CVS,1EVT,1FGI,1FGK,1FQ9,1XR0,2CR3,2FGI,3C4F,3DPK,3GQI,3GQL,3JS2,3KRJ,3KRL,3KXX,3KY2,3OJV,3RHX,3TT0,4F63,4F64,4F65,4NK9,4NKA,4NKS,4RWI,4RWJ,4RWK,4RWL,4UWB,4UWC,4UWY,4V01,4V04,4V05,4WUN,4ZSA,5A46,5A4C,5AM6,5AM7,5B7V,5EW8,5FLF,5O49,5O4A,5UQ0,5UR1,5VND,5W21,5W59,5Z0S,5ZV2,6C18,6C19,6C1B,6C1C,6C1O,6ITJ,6MZQ,6MZW,6NVL,6P68,6P69,7OZB,7OZD,7OZF,7WCL,7YSH,8JMZ,8JQI,8XLO,8XZ7,8Y22,8YKI,9CD5"
SMAD2,Q15796,"1DEV,1KHX,1U7V,2LB3,5XOD,5ZOJ,6M64,6YIA,6ZVQ,7CO1"
MYC,P01106,"1A93,1EE4,1MV0,1NKP,2A93,2OR9,4Y7R,5I4Z,5I50,6C4U,6E16,6E24,6G6J,6G6K,6G6L,7T1Y,7T1Z,8J2Q,8OTS,8OTT,8Q1N,8WLG,8X8S,8X8V"
TNF,P01375,"1A8M,1TNF,2AZ5,2E7A,2TUN,2ZJC,2ZPX,3ALQ,3IT8,3L9J,3WD5,4G3Y,4TSV,4TWT,4Y6O,5M2I,5M2J,5M2M,5MU8,5TSW,5UUI,5WUX,5YOY,6OOY,6OOZ,6OP0,6RMJ,6X81,6X82,6X83,6X85,6X86,7ASY,7AT7,7ATB,7JRA,7KP9,7KPA,7KPB,7QLF,7TA3,7TA6,8Z8M"
ESR1,P03372,"1A52,1ERE,1ERR,1G50,1GWQ,1GWR,1HCP,1HCQ,1L2I,1PCG,1QKT,1QKU,1R5K,1SJ0,1UOM,1X7E,1X7R,1XP1,1XP6,1XP9,1XPC,1XQC,1YIM,1YIN,1ZKY,2AYR,2B1V,2B1Z,2B23,2BJ4,2FAI,2G44,2G5O,2I0J,2IOG,2IOK,2JF9,2JFA,2LLO,2LLQ,2OCF,2OUZ,2P15,2POG,2Q6J,2Q70,2QA6,2QA8,2QAB,2QE4,2QGT,2QGW,2QH6,2QR9,2QSE,2QXM,2QXS,2QZO,2R6W,2R6Y,2YAT,2YJA,3CBM,3CBO,3CBP,3DT3,3ERD,3ERT,3HLV,3HM1,3L03,3OS8,3OS9,3OSA,3Q95,3UU7,3UUA,3UUC,3UUD,4AA6,4DMA,4IU7,4IUI,4IV2,4IV4,4IVW,4IVY,4IW6,4IW8,4IWC,4IWF,4JC3,4JDD,4MG5,4MG6,4MG7,4MG8,4MG9,4MGA,4MGB,4MGC,4MGD,4O6F,4PP6,4PPP,4PPS,4PXM,4Q13,4Q50,4TUZ,4TV1,4XI3,4ZN7,4ZN9,4ZNH,4ZNS,4ZNT,4ZNU,4ZNV,4ZNW,5AAU,5AAV,5ACC,5AK2,5DI7,5DID,5DIE,5DIG,5DK9,5DKB,5DKE,5DKG,5DKS,5DL4,5DLR,5DMC,5DMF,5DP0,5DRJ,5DRM,5DTV,5DU5,5DUE,5DUG,5DUH,5DVS,5DVV,5DWE,5DWG,5DWI,5DWJ,5DX3,5DXB,5DXE,5DXG,5DXK,5DXM,5DXP,5DXQ,5DXR,5DY8,5DYB,5DYD,5DZ0,5DZ1,5DZ3,5DZH,5DZI,5E0W,5E0X,5E14,5E15,5E19,5E1C,5EGV,5EHJ,5EI1,5EIT,5FQP,5FQR,5FQS,5FQT,5FQV,5GS4,5GTR,5HYR,5JMM,5KCC,5KCD,5KCE,5KCF,5KCT,5KCU,5KCW,5KD9,5KR9,5KRA,5KRC,5KRF,5KRH,5KRI,5KRJ,5KRK,5KRL,5KRM,5KRO,5N10,5T0X,5T1Z,5T92,5T97,5TLD,5TLF,5TLG,5TLL,5TLM,5TLO,5TLP,5TLT,5TLU,5TLV,5TLX,5TLY,5TM1,5TM2,5TM3,5TM4,5TM5,5TM6,5TM7,5TM8,5TM9,5TML,5TMM,5TMO,5TMQ,5TMR,5TMS,5TMT,5TMU,5TMV,5TMW,5TMZ,5TN1,5TN3,5TN4,5TN5,5TN6,5TN7,5TN8,5TN9,5TNB,5U2B,5U2D,5UFW,5UFX,5W9C,5W9D,5WGD,5WGQ,6B0F,6C42,6CBZ,6CHW,6CHZ,6CZN,6D0F,6DF6,6DFN,6HHP,6HKB,6HKF,6HMU,6IAR,6OWC,6PET,6PFM,6PIT,6PSJ,6SBO,6SQ0,6SUO,6TJM,6TL3,6V87,6V8T,6VGH,6VJD,6VPF,6WOK,6ZOQ,6ZOR,6ZOS,7B9M,7B9R,7B9T,7BA3,7BA5,7BA6,7BA7,7BA8,7BA9,7BAA,7BAB,7JHD,7KBS,7MSA,7N9O,7NDO,7NEL,7NFB,7NFW,7NIZ,7OPW,7OQ7,7OQ8,7PWT,7PWZ,7QVJ,7QVL,7R62,7RKE,7RNM,7RRX,7RRY,7RRZ,7RS0,7RS1,7RS2,7RS3,7RS4,7RS7,7RS8,7RS9,7SFO,7T2X,7TE7,7UJ7,7UJ8,7UJC,7UJF,7UJM,7UJO,7UJW,7UJY,7WNV,7Y8F,7Y8G,7YMK,8AFN,8AI0,8ALR,8ALT,8ALV,8ALW,8AM7,8ANF,8AOY,8APS,8AQ1,8AQC,8AQE,8AQZ,8AR4,8AR5,8ARG,8ARO,8ARQ,8ARR,8ARW,8ARX,8ARY,8ARZ,8AS1,8AT9,8ATP,8AU2,8AUS,8AUY,8AV3,8AV4,8AV7,8AV8,8AWG,8AXE,8AXU,8AZE,8B39,8BWJ,8BWX,8BWZ,8BX0,8BX3,8BX4,8BXI,8BXM,8BXN,8BXO,8BXQ,8BXS,8BY9,8BYB,8BYC,8BYD,8BYE,8BYF,8BYG,8BYO,8BYY,8BYZ,8BZ0,8BZ9,8BZA,8BZB,8BZC,8BZD,8BZE,8BZF,8BZG,8BZH,8BZT,8BZW,8C04,8C0K,8C42,8C4F,8C4G,8DU6,8DU8,8DU9,8DUB,8DUC,8DUD,8DUG,8DUH,8DUI,8DUK,8DUS,8DV5,8DV7,8DV8,8DVB,8EV1,8EV2,8VYT,8VYX,8VZ0,8VZ1,8VZP,8VZQ,8W03,8W07,9BQE,9BU1"
AMH,P03971,7L0J
SMAD4,Q13485,"1DD1,1G88,1MR1,1U7F,1U7V,1YGS,5C4V,5MEY,5MEZ,5MF0,5UWU,6YIC"
POTEF,A5A3E0,
IRS1,P35568,"1IRS,1K3A,1QQG,2Z8C,5U1M,6BNT,7PPL,7PPM"
ACVR1,Q04771,"3H9R,3MTF,3OOM,3Q4U,4BGG,4C02,4DYM,5OXG,5OY6,5S75,5S76,5S77,5S78,5S79,5S7A,5S7B,5S7C,5S7D,5S7E,5S7F,5S7G,5S7H,5S7I,5S7J,5S7K,5S7L,5S7M,5S7N,5S7O,5S7P,5S7Q,5S7R,5S7S,5S7T,5S7U,5S7V,5S7W,5S7X,5S7Y,5S7Z,5S80,5S81,5S82,5S83,5S84,5S85,5S86,5S87,5S88,5S89,5S8A,5S8B,5S9K,6ACR,6EIX,6GI6,6GIN,6GIP,6I1S,6JUX,6SRH,6SZM,6T6D,6T8N,6TN8,6UNQ,6UNR,6UNS,6Z36,6ZGC,7A21,7C3G,7NNS,7YRU,8C7W,8C7Z,8POD,8R7G,8UWR,9D8E,9D8F,9D8Z"
BMP2,P12643,"1ES7,1REU,1REW,2GOO,2H62,2H64,2QJ9,2QJA,2QJB,3BK3,3BMP,4MID,4N1D,4UHY,4UHZ,4UI0,4UI1,4UI2,6OMN,7AG0,8E3G"
PDGFRA,P16234,"1GQ5,5GRN,5K5X,6A32,6JOI,6JOJ,6JOK,6JOL,7LBF,7RAM,8PQH,8PQI,8PQJ,8PQK"
ACTB,P60709,"3BYH,3D2U,3J82,3LUE,6ANU,6ICT,6ICV,6LTJ,6MBJ,6MBK,6MBL,6NBW,6OX0,6OX1,6OX2,6OX3,6OX4,6OX5,6V62,6V63,6WK1,6WK2,7AS4,7P1H,7QJ6,7QJ9,7VDV,7W28,7W29,7Y8R,7ZTC,7ZTD,8COG,8DNH,8IB8,8OI8,8OID,8QR1,8RTT,8RTY,8RU2,8VRD,8VRJ,8VRK,8X15,8X19,8X1C,8XVT,9C57,9C62,9C6N,9FJM"
TGFB1,P01137,"1KLA,1KLC,1KLD,3KFD,4KV5,5FFO,5VQP,6OM2,6P7J,7Y1R,7Y1T,8UDZ,8VSC"
TRIM63,Q969Q1,"2D8U,3DDT,4M3L"
CEBPB,P17676,"1GTW,1GU4,1GU5,1H88,1H89,1H8A,1HJB,1IO4,2E42,2E43,6MG1,6MG2,6MG3,7L4V,7UPZ,8K8D"
CD28,P10747,"1YJD,3WA4,5AUL,5GJH,5GJI,6O8D,7PPN,7VU5,8S6Z,8W2V"
FGF2,P09038,"1BAS,1BFB,1BFC,1BFF,1BFG,1BLA,1BLD,1CVS,1EV2,1FGA,1FQ9,1II4,1IIL,2BFH,2FGF,2M49,4FGF,4OEE,4OEF,4OEG,5X1O,6L4O,8HU7,8HUE,8OM6"
FGF19,O95750,"1PWA,2P23,6KTR,6NFJ"
THBS1,P07996,"1LSL,1UX6,1Z78,1ZA4,2ERF,2ES3,2OUH,2OUJ,3R6B,5FOE,7YYK"
NOTCH1,P46531,"1PB5,1TOZ,1YYH,2F8X,2F8Y,2HE0,2VJ3,3ETO,3I08,3L95,3NBN,3V79,4CUD,4CUE,4CUF,4D0E,4D0F,5FM9,5FMA,5KZO,5L0R,5UB5,6IDF,6PY8,8OR5,8ORY,8ORZ,9B3G,9B3N"
CD44,P16070,"1POZ,1UUH,2I83,4PZ3,4PZ4,6TXS"
